No of bedrooms,No of bathrooms,living area,No of floors,waterfront present,No of views,house condition,house grade,Built Year,Renovation Year,Lattitude,Longitude,living_area_renov,Price,Total floor area,Total lot area
3,1.0,1090,1.0,0,0,4,7,1955,0,52.7634,-114.555,1340,365000,1090,12870
3,2.0,1930,1.0,0,0,4,8,1966,0,52.5972,-114.341,2200,342000,1930,24772
2,2.0,1350,1.0,0,0,3,8,1976,0,52.8644,-114.297,1790,335000,1350,5120
3,2.25,1580,1.0,0,0,4,7,1978,0,52.7943,-114.087,1450,335000,1580,32430
3,1.0,1160,1.0,0,0,3,7,1968,0,52.9727,-114.262,1160,315000,1160,19462
3,1.5,1340,1.5,0,0,3,7,1955,0,52.9958,-114.529,1480,313000,1340,15852
2,1.0,850,1.0,0,0,4,7,1950,0,52.9652,-114.518,1100,308500,850,12348
3,2.5,2540,2.0,0,0,3,7,2006,0,52.5658,-114.245,2280,300000,2540,10100
2,2.5,1630,2.0,0,0,3,7,2009,0,52.7789,-114.553,1590,295000,1630,3674
3,3.0,1850,1.0,0,0,4,7,1992,0,52.5793,-114.224,1410,287200,1850,26681
4,2.5,2200,2.0,0,0,3,8,1987,0,52.5706,-114.459,2310,285000,2200,18573
3,2.5,2090,1.0,0,0,4,8,1987,0,52.5837,-114.493,1750,285000,2090,19429
3,1.75,1800,1.0,0,0,3,7,1968,0,52.8817,-114.096,1410,284000,1800,41266
3,1.5,1180,1.0,0,0,3,6,1983,0,52.718,-113.977,1680,275000,1180,21381
4,2.0,1480,1.0,0,0,4,7,1974,0,52.692,-114.383,2130,260000,1480,17127
3,1.75,1370,1.0,0,0,3,7,1987,0,52.6115,-114.503,1400,257950,1370,13358
3,1.5,1200,1.0,0,0,4,7,1965,0,52.6525,-114.343,1380,242500,1200,20004
2,1.0,1210,1.0,0,0,2,6,1949,0,52.7642,-114.55,1580,235000,1210,15426
4,2.75,2920,2.0,0,0,3,8,2012,0,52.7209,-114.334,3030,625000,2920,13210
2,1.0,900,1.0,0,0,3,7,1944,0,52.9183,-114.585,1280,553000,900,10000
3,2.5,1650,1.0,0,0,4,7,1986,0,52.7121,-114.207,1940,379880,1650,101609
3,1.0,1010,1.0,0,0,4,6,1973,0,52.7624,-113.953,1390,310000,1010,22655
3,2.5,2850,2.0,0,0,3,10,1980,0,52.833,-114.479,2280,783500,2850,13589
2,2.5,2680,1.0,0,0,3,9,2004,0,52.947,-114.216,2315,775000,2680,14437
4,2.0,2280,1.0,0,0,3,7,1900,0,52.8334,-114.479,2240,628000,2280,12210
3,2.5,2200,1.0,0,0,5,8,1988,0,52.6695,-114.351,2350,365000,2200,14907
4,2.5,2530,2.0,0,2,3,8,1990,0,52.4954,-114.406,2140,331950,2530,19866
7,8.0,13540,3.0,0,4,3,12,1999,0,52.8975,-114.176,4850,2280000,13540,525552
2,2.5,2220,2.0,0,0,3,9,2000,0,52.8664,-114.47,1870,1430000,2220,8000
5,3.5,4010,2.0,0,1,5,9,1971,0,52.8878,-114.476,2610,1400000,4010,14638
4,2.5,4340,2.5,0,0,3,11,1992,0,52.9105,-114.238,2720,1090000,4340,238708
5,2.75,3190,1.0,0,3,3,9,1976,0,52.7941,-114.35,3100,1030000,3190,30020
3,1.0,1330,1.0,0,0,3,7,1928,1954,52.9191,-114.349,1340,900000,1330,95661
4,4.25,4420,2.0,0,0,3,10,2006,0,52.7704,-114.263,4420,890000,4420,11500
5,3.5,4490,2.0,0,0,3,10,2006,0,52.7696,-114.263,4530,890000,4490,12000
4,3.0,3690,2.0,0,0,3,10,1998,0,52.8237,-114.172,3430,865000,3690,21186
4,2.75,2600,1.0,0,0,4,8,1960,0,52.8682,-114.587,2550,855000,2600,10990
4,3.0,2170,2.0,0,0,4,9,1982,2011,52.8496,-114.482,1670,831000,2170,8000
4,2.5,3400,2.0,0,0,3,9,2007,0,52.938,-114.299,3070,830000,3400,17067
6,1.75,2920,2.5,0,0,4,9,1908,0,52.8324,-114.485,2020,823000,2920,10000
5,2.5,3180,2.0,0,0,4,10,1990,0,52.882,-114.372,3180,800866,3180,27604
3,2.5,3240,2.0,0,0,3,10,1994,0,52.8157,-114.228,2970,800000,3240,15714
3,1.75,1330,1.0,0,0,3,8,1961,0,52.8374,-114.385,1690,787000,1330,15300
4,2.5,2730,2.0,0,2,3,9,1996,0,52.8527,-114.219,2750,780000,2730,17501
3,2.0,2350,1.5,0,0,4,8,1939,0,52.869,-114.5,2170,770000,2350,11700
4,2.5,2120,1.0,0,0,4,7,1960,0,52.8158,-114.36,1570,755000,2120,20964
4,1.75,2010,1.5,0,0,3,7,1902,0,52.8637,-114.561,2010,740000,2010,7200
4,2.5,3180,2.0,0,3,3,9,2000,0,52.745,-114.307,3715,736500,3180,51074
4,2.5,2450,2.0,0,0,3,8,2013,0,52.9348,-114.303,2970,712198,2450,8932
3,2.5,2490,2.0,0,0,3,9,2003,0,52.7793,-114.183,2130,705380,2490,8449
3,2.5,1680,3.0,0,0,3,9,1909,1998,52.8904,-114.48,1950,670000,1680,7000
4,2.5,2800,1.0,0,0,3,8,1963,0,52.9109,-114.476,2580,665000,2800,11800
4,1.0,1390,1.0,0,0,3,7,1924,0,52.8896,-114.528,1810,657100,1390,8480
3,1.5,2160,1.0,0,2,4,8,1949,0,52.9541,-114.559,3010,650000,2160,18000
4,2.5,2440,2.0,0,0,3,9,2014,0,52.9271,-114.561,1350,631625,2440,14304
4,2.25,1990,1.0,0,0,3,8,1973,0,52.7988,-114.277,1720,627000,1990,15105
3,1.75,1480,2.5,0,0,3,9,2005,0,52.9245,-114.36,1480,620000,1480,4626
3,2.0,1800,1.0,0,0,4,7,1942,0,52.9038,-114.487,1800,618500,1800,10000
4,1.75,2300,1.0,0,0,4,9,1977,0,52.8631,-114.284,2840,615000,2300,23700
3,1.75,1670,1.0,0,0,4,8,1976,1992,52.8229,-114.179,2330,600000,1670,70131
3,1.75,1880,1.0,0,0,4,7,1945,0,52.9178,-114.476,1770,600000,1880,12535
2,1.0,1770,1.5,0,0,3,6,1949,0,52.9226,-114.553,1060,585000,1770,13444
2,1.0,2540,1.0,0,0,5,8,1942,0,52.7559,-114.451,2160,580000,2540,13000
3,2.25,2010,1.0,0,0,3,8,1975,0,52.9212,-114.305,2080,570000,2010,14260
3,2.5,1900,2.0,0,0,3,8,1987,0,52.85,-114.233,2030,560000,1900,17488
3,2.5,1940,2.0,0,0,3,8,2009,0,52.7944,-114.283,1880,555000,1940,6289
2,1.0,1140,1.0,0,0,5,7,1908,0,52.8505,-114.484,1520,549000,1140,10200
4,2.5,2910,2.0,0,0,3,8,2008,0,52.7104,-114.316,2500,549000,2910,12215
5,2.75,2740,1.0,0,0,4,8,1960,0,52.7863,-114.374,2020,541125,2740,17209
2,3.0,1270,2.0,0,0,3,8,2000,0,52.8934,-114.53,1290,531000,1270,2975
5,1.75,2550,1.0,0,0,5,7,1960,0,52.7145,-114.27,2170,525888,2550,123274
3,1.75,1560,1.0,0,0,4,6,1944,0,52.8815,-114.589,1470,524000,1560,11520
3,2.5,1790,2.0,0,0,3,8,2010,0,52.794,-114.283,1890,509900,1790,5778
4,1.0,2070,1.0,0,0,3,7,1963,0,52.862,-114.309,1730,501000,2070,15038
4,2.5,2910,2.0,0,0,3,7,2006,0,52.7702,-114.077,2320,499000,2910,11657
6,2.75,3200,1.0,0,2,4,8,1953,0,52.722,-114.554,2220,497300,3200,18700
4,1.75,2010,1.0,0,0,3,7,1977,0,52.9506,-114.361,1840,487585,2010,17711
4,3.0,2340,1.0,0,0,4,8,1979,0,52.9606,-114.417,1440,485000,2340,15136
3,2.5,3040,2.0,0,0,3,9,2007,0,52.74,-114.375,2670,478000,3040,9201
4,2.0,1480,1.5,0,0,5,7,1928,0,52.9342,-114.542,1480,449250,1480,7688
5,2.0,1840,1.0,0,0,4,7,1942,1958,52.9608,-114.53,1200,435000,1840,14490
2,2.5,1590,2.0,0,0,3,8,2014,0,52.7741,-114.203,1590,419190,1590,2852
3,2.0,1410,1.5,0,0,4,7,1930,0,52.9294,-114.537,1410,418000,1410,12330
3,2.5,1408,3.0,0,0,3,8,2005,0,52.9156,-114.505,1408,416286,1408,2331
3,2.25,1620,2.5,0,0,3,8,2010,0,52.7701,-114.217,1620,415000,1620,2297
3,2.25,1800,1.0,0,0,4,8,1978,0,52.6988,-114.203,2730,410000,1800,73108
3,2.25,1410,3.0,0,0,3,8,2005,0,52.9216,-114.53,1430,406100,1410,2780
2,3.0,1410,2.0,0,0,3,8,2006,0,52.7521,-114.58,1410,405000,1410,2513
2,1.75,2110,1.0,0,0,2,7,1948,0,52.9804,-114.496,1480,400000,2110,19038
2,1.0,840,1.0,0,0,3,7,1955,0,52.7547,-114.581,1630,400000,840,11020
3,2.5,2230,2.0,0,0,3,7,1954,0,52.8101,-114.496,1310,398750,2230,8000
5,2.5,3090,1.0,0,0,3,8,1968,0,52.5708,-114.525,1760,384900,3090,38669
4,1.75,1970,1.0,0,0,5,7,1960,0,53.0071,-114.529,1820,379950,1970,17524
3,3.0,1571,3.0,0,0,3,8,2008,0,52.9638,-114.499,1520,366750,1571,12297
5,1.0,1120,1.5,0,0,4,7,1962,0,52.9596,-114.43,1310,340000,1120,16522
2,1.5,1160,2.0,0,0,3,7,2001,0,52.8217,-114.485,1220,340000,1160,3178
2,1.0,1140,1.5,0,0,4,6,1949,0,52.961,-114.531,1450,329950,1140,10500
4,2.5,2370,2.0,0,0,3,9,1998,0,52.5628,-114.363,2590,328000,2370,12637
4,2.75,2310,2.0,0,0,3,7,2006,0,52.5914,-114.225,1980,309950,2310,10000
3,2.5,1880,2.0,0,0,3,7,1994,0,52.6739,-114.38,1810,309950,1880,15753
3,2.0,1050,1.0,0,0,3,7,1986,0,52.9641,-114.166,1130,300000,1050,20159
3,1.0,1450,1.0,0,0,4,7,1953,0,52.7538,-114.477,1170,287000,1450,12464
3,2.0,1550,1.0,0,0,4,6,1958,0,52.7173,-114.289,1510,249950,1550,56456
3,1.75,1920,1.0,0,0,3,7,1984,0,52.5619,-114.457,1860,245000,1920,17764
2,1.0,1200,1.0,0,0,4,6,1958,0,52.6504,-114.514,1200,232000,1200,15563
4,1.5,1240,1.0,0,0,3,7,1971,0,52.5506,-114.587,1240,220000,1240,19192
4,1.5,1120,1.0,0,0,3,6,1969,2014,52.5928,-114.277,1150,219900,1120,10731
3,1.0,1340,1.0,0,0,3,5,1953,0,52.9834,-114.102,1800,210000,1340,434914
5,2.0,2050,1.0,0,0,3,6,1956,0,52.6436,-114.523,1940,210000,2050,18825
2,1.0,810,1.0,0,0,5,6,1944,0,52.7182,-114.515,1090,206000,810,14316
3,1.75,1490,1.0,0,0,4,7,1962,0,52.5375,-114.474,2488,184000,1490,15106
5,4.0,4510,2.0,0,0,3,10,1969,2002,52.7609,-114.418,3510,1870000,4510,28675
5,5.0,4490,2.0,0,0,3,10,2013,0,52.8274,-114.392,2490,1800000,4490,20558
4,3.25,3760,1.5,0,0,5,9,1950,0,52.8987,-114.454,3430,1580000,3760,21970
4,2.25,3490,2.0,0,0,4,10,1928,0,52.8724,-114.597,2540,1230000,3490,13129
4,2.75,3370,1.0,0,3,3,9,1970,2014,52.7532,-114.573,2120,1140000,3370,14463
3,2.5,2200,2.0,0,0,3,9,2008,0,52.8726,-114.517,1890,1050000,2200,5475
3,2.5,2690,3.0,0,0,3,10,2014,0,52.9097,-114.575,2040,979000,2690,9047
3,3.5,3020,2.0,0,0,3,9,1954,2004,52.881,-114.599,2060,910000,3020,9184
4,2.0,3740,2.0,0,0,3,9,2000,0,52.9028,-114.202,3180,860000,3740,64834
4,2.5,3040,2.0,0,0,3,8,2008,0,52.9088,-114.307,3040,776000,3040,14225
4,2.5,3880,2.0,0,0,3,10,1987,0,52.8678,-114.23,3240,762300,3880,28595
4,2.5,2290,2.0,0,0,4,9,1988,0,52.7899,-114.295,3130,736000,2290,27713
4,2.5,3200,2.0,0,0,3,10,1998,0,52.7573,-114.333,3770,725126,3200,25329
4,2.5,3030,2.0,0,0,3,9,1999,0,52.8375,-114.207,2790,685000,3030,14898
2,1.0,930,1.0,0,2,3,6,1951,0,52.7999,-114.354,2800,675000,930,47619
4,3.5,3380,2.0,0,0,3,8,2000,0,53.0041,-114.569,2220,655500,3380,16660
3,1.5,1630,1.0,0,1,3,7,1940,0,52.9025,-114.462,2320,650000,1630,14950
5,3.5,3480,2.0,0,0,4,8,1983,0,52.8041,-114.24,2540,650000,3480,72525
4,2.0,2060,1.0,0,0,3,7,1949,2013,52.9292,-114.569,1280,612500,2060,10000
4,3.0,2450,1.0,0,0,5,8,1967,0,52.7994,-114.322,2530,610000,2450,20242
4,2.5,2150,2.0,0,0,3,9,1985,0,52.9527,-114.288,2450,609000,2150,75962
4,2.5,2110,2.0,0,0,3,9,1987,0,52.7797,-114.267,2520,606000,2110,24044
4,2.25,2260,2.0,0,0,4,8,1977,0,52.7989,-114.316,2770,599000,2260,59860
4,3.25,3569,2.0,0,0,3,10,2013,0,52.6895,-114.398,2550,580000,3569,13578
3,1.75,2130,1.0,0,2,3,8,1954,0,52.8724,-114.576,2020,575000,2130,11500
4,3.0,3100,2.0,0,0,3,8,1996,0,52.9766,-114.431,2000,563000,3100,57980
5,2.25,3040,2.0,0,0,3,8,1984,0,52.9457,-114.293,2020,562000,3040,16415
3,2.0,2000,2.0,0,0,3,7,1916,1986,52.7752,-114.583,1840,561000,2000,12500
3,2.5,1850,2.0,0,0,3,8,1991,0,52.9463,-114.419,1780,535000,1850,19769
5,2.75,1800,1.5,0,0,3,7,1926,0,52.9131,-114.533,1400,533000,1800,7560
5,2.5,2910,1.0,0,0,4,7,1964,0,52.8103,-114.309,2830,530000,2910,15518
3,2.5,2970,1.0,0,0,3,9,1995,0,52.8659,-114.242,2990,525000,2970,24034
3,2.5,2460,2.0,0,0,4,8,1980,0,52.7296,-114.336,2770,520000,2460,76292
3,1.5,1430,1.0,0,0,4,7,1956,0,52.8174,-114.326,1450,518000,1430,16000
3,2.5,1790,2.0,0,0,3,8,1989,0,52.8476,-114.235,1680,515000,1790,14585
4,2.5,2000,2.0,0,0,3,8,1996,0,52.9743,-114.41,2210,513000,2000,12750
3,2.5,1480,3.0,0,0,3,8,2006,0,52.85,-114.49,1480,500000,1480,2402
2,1.75,1170,1.0,0,0,4,7,1903,0,52.8953,-114.523,1570,499000,1170,6319
5,2.0,2020,1.5,0,0,4,7,1938,0,52.9249,-114.56,1510,488000,2020,11600
3,2.0,1420,1.5,0,0,3,7,1905,2013,52.9172,-114.539,1420,485000,1420,8670
2,1.75,1660,1.0,0,0,3,7,1942,0,52.8924,-114.481,1660,484000,1660,10000
4,2.5,2740,2.0,0,0,3,8,1995,0,52.97,-114.238,2080,483500,2740,89292
6,3.0,3470,1.5,0,0,3,7,1924,0,52.9963,-114.424,2120,475000,3470,134712
2,1.0,1030,1.0,0,0,3,7,1924,0,52.911,-114.551,1400,469000,1030,8600
3,2.25,1970,1.0,0,0,4,8,1967,0,52.9951,-114.467,1970,465000,1970,21558
2,2.25,1230,2.0,0,0,3,8,2004,0,52.8491,-114.491,1270,460000,1230,2299
5,2.5,2240,1.0,0,0,3,7,1978,0,52.9498,-114.361,1820,455000,2240,15540
2,2.0,1100,1.5,0,0,3,7,1912,2005,52.9097,-114.552,1390,450000,1100,7000
4,2.0,1520,1.0,0,0,5,7,1967,0,52.9657,-114.383,1520,425000,1520,15766
4,2.25,2810,1.0,0,1,3,7,1958,0,52.625,-114.501,1860,407000,2810,38300
4,1.75,1840,1.0,0,0,3,7,1958,0,52.8374,-114.315,1840,404000,1840,19764
4,2.0,1440,1.0,0,0,3,7,1971,0,52.9545,-114.39,1460,397000,1440,17340
3,1.75,1260,1.0,0,0,4,7,1966,0,52.8524,-114.306,1500,390000,1260,14200
5,3.75,2890,1.0,0,0,3,7,2006,0,52.8001,-114.486,1930,390000,2890,10117
3,1.0,1230,1.0,0,0,5,7,1962,0,52.769,-114.369,1270,387000,1230,19143
3,1.75,1900,1.0,0,0,3,7,1982,0,52.7849,-114.482,1330,385000,1900,10716
4,1.75,1500,1.0,0,0,4,7,1955,0,52.9673,-114.431,1740,379900,1500,23200
3,2.0,1270,3.0,0,0,3,8,2006,0,52.9237,-114.532,1370,369950,1270,2640
3,1.5,1410,1.0,0,0,3,8,1961,0,52.9908,-114.551,2090,367500,1410,18919
3,1.5,1310,1.0,0,0,3,7,1950,0,52.9591,-114.529,1090,365000,1310,15720
3,2.25,1640,1.0,0,0,4,7,1963,0,52.6776,-114.522,2020,362000,1640,24874
4,2.0,2680,1.0,0,0,5,8,1965,0,52.5482,-114.469,1230,360000,2680,34518
3,1.0,1350,1.0,0,0,4,6,1947,0,52.9398,-114.481,1130,353000,1350,15480
4,2.5,2331,2.0,0,0,3,8,2007,0,52.6744,-114.372,2441,345000,2331,7652
3,1.0,1110,1.0,0,0,3,7,1956,0,52.9277,-114.482,2010,345000,1110,13194
2,1.0,720,1.0,0,0,3,6,1942,0,52.9301,-114.552,840,329350,720,13374
4,2.5,1890,1.0,0,0,3,7,1980,0,52.781,-114.546,1590,325000,1890,18994
3,1.0,1510,1.0,0,0,4,6,1940,0,52.9266,-114.514,1510,313950,1510,11795
4,2.0,1300,1.0,0,0,3,7,1950,2013,52.7371,-114.559,1560,312000,1300,14154
3,2.25,1980,1.0,0,0,4,9,1974,0,52.5449,-114.568,2360,295000,1980,16000
4,2.5,2000,2.0,0,0,3,7,2003,0,52.6032,-114.319,2330,284000,2000,10780
3,1.75,1630,1.0,0,0,4,7,1971,0,52.7163,-113.92,2090,280000,1630,69228
3,1.75,1580,1.0,0,1,4,7,1962,0,52.5972,-114.502,1650,279900,1580,16302
3,2.5,1650,2.0,0,0,3,7,1998,0,52.8853,-114.102,1650,272000,1650,28960
3,1.0,1050,1.0,0,0,3,6,1954,0,52.992,-114.545,1500,250000,1050,15828
3,1.75,1490,1.0,0,0,4,7,1975,0,52.605,-114.33,1490,234000,1490,15835
2,1.0,900,1.0,0,0,3,6,1952,0,52.755,-114.546,900,219000,900,10320
3,1.75,1850,1.0,0,0,3,8,1979,0,52.5275,-114.56,1940,218000,1850,15314
3,1.75,1690,1.0,0,0,4,7,1976,0,52.5624,-114.47,1580,197000,1690,15238
3,1.5,800,1.0,0,0,4,6,1959,0,52.5566,-114.538,820,191000,800,17625
3,1.0,1010,1.0,0,0,3,7,1954,0,52.72,-114.41,1440,175000,1010,18028
3,1.5,1420,1.0,0,0,3,6,1962,0,52.5376,-114.552,1200,136500,1420,17160
2,1.0,780,1.0,0,0,1,5,1942,0,52.7039,-114.47,1700,78000,780,26731
7,4.5,6210,2.5,0,2,5,11,1910,0,52.8607,-114.544,2940,3200000,6210,14256
5,4.5,4270,2.0,0,0,3,11,2007,0,52.929,-114.396,4100,1530000,4270,18707
6,2.5,3560,2.5,0,0,4,11,1914,0,52.857,-114.494,2780,1500000,3560,12960
3,3.0,2960,2.0,0,2,3,10,1937,1990,52.8656,-114.592,2960,1340000,2960,11376
4,4.0,4460,2.0,0,0,3,11,2001,0,52.864,-114.187,3470,1150000,4460,191901
4,1.5,2310,1.0,0,0,3,7,1950,0,52.8532,-114.4,2840,1110000,2310,26044
4,3.5,3900,2.0,0,0,3,10,2006,0,52.9279,-114.395,3820,1040000,3900,20659
4,2.25,1890,1.0,0,1,3,9,1963,0,52.8616,-114.493,2430,940000,1890,11880
5,3.75,4130,2.0,0,0,3,9,1985,0,52.945,-114.255,4130,900000,4130,281397
4,2.0,2210,1.0,0,1,4,8,1954,0,52.8798,-114.586,2190,794154,2210,16531
3,2.0,2540,1.5,0,3,4,8,1905,0,52.8272,-114.482,2040,775000,2540,13100
4,2.75,2410,1.0,0,0,4,7,1956,0,52.8803,-114.387,2090,758000,2410,19098
3,2.75,2520,1.0,0,0,4,7,1946,0,52.8752,-114.563,1800,750000,2520,28826
4,2.75,2600,2.0,0,0,5,8,1949,0,52.7956,-114.59,1990,749950,2600,12100
4,2.5,2650,1.5,0,0,3,8,1905,2013,52.8166,-114.579,1690,705000,2650,9941
3,2.0,1760,1.0,0,0,4,7,1942,0,52.8688,-114.587,1760,690000,1760,12432
3,1.75,1680,1.0,0,0,4,8,1959,0,52.8398,-114.359,2250,675000,1680,20900
4,4.0,3680,2.0,0,0,3,10,1990,0,52.8493,-114.204,3200,675000,3680,34758
3,2.5,3240,2.0,0,0,4,10,1991,0,52.557,-114.284,2090,651000,3240,216732
3,3.0,2270,2.0,0,0,3,9,2002,0,52.746,-114.393,2850,640000,2270,10836
3,2.5,2680,2.0,0,0,3,8,1995,0,52.6083,-114.193,2020,630000,2680,387215
2,2.25,2550,1.0,0,0,3,10,2011,0,52.7604,-114.392,2560,630000,2550,9491
3,2.5,2030,2.0,0,0,3,8,1988,0,52.7954,-114.282,2030,618080,2030,14985
3,3.0,1680,3.0,0,0,3,8,2014,0,52.8872,-114.536,1640,610950,1680,6370
3,2.5,2460,1.0,0,0,4,9,1977,0,52.7124,-114.19,2870,600000,2460,211266
9,4.5,3830,2.5,0,0,3,7,1938,0,52.9227,-114.528,1460,599999,3830,13279
3,1.75,1960,1.0,0,0,4,7,1920,0,52.9046,-114.502,1960,599000,1960,8748
4,2.0,2510,1.0,0,0,4,7,1961,2001,52.9305,-114.364,1220,581000,2510,26195
4,2.0,1650,1.0,0,0,3,7,1955,0,52.9081,-114.564,1690,575000,1650,7276
3,2.0,2350,1.5,0,0,3,8,1929,0,52.7816,-114.453,1700,568000,2350,10160
3,3.0,4120,2.0,0,2,3,9,1994,0,52.9104,-114.103,2770,560000,4120,124425
3,2.0,1860,1.0,0,0,3,8,1985,0,52.7697,-114.244,1960,560000,1860,23171
7,5.75,3700,2.0,0,1,3,8,1948,1984,52.9693,-114.479,2510,540000,3700,15126
3,1.75,2720,1.5,0,0,3,9,1988,0,52.9392,-114.082,2560,535000,2720,298820
3,2.5,2280,2.0,0,0,3,8,2006,0,52.7675,-114.263,2280,535000,2280,4714
3,1.0,1340,1.0,0,0,3,7,1910,0,52.8933,-114.514,1960,530000,1340,8364
2,2.0,1550,1.5,0,0,4,7,1900,0,52.884,-114.536,1180,526000,1550,3624
3,2.25,1170,3.0,0,0,3,8,2014,0,52.9022,-114.571,1350,519950,1170,2559
3,1.75,1580,1.0,0,1,4,7,1967,0,52.8369,-114.302,2600,515000,1580,32711
4,2.5,2430,2.0,0,0,3,8,2003,0,52.9702,-114.507,2260,510000,2430,12677
3,2.75,1540,1.0,0,0,5,7,1980,0,52.9463,-114.402,1540,503000,1540,14176
2,1.0,1010,1.5,0,0,4,7,1906,1990,52.8524,-114.494,1770,500000,1010,8085
3,2.5,1940,1.0,0,0,4,8,1987,0,52.7101,-114.253,2560,500000,1940,75130
3,1.0,990,1.0,0,0,3,6,1943,0,52.9018,-114.457,1250,495000,990,12000
4,2.75,2656,2.0,0,0,3,9,2014,0,52.5462,-114.462,1860,495000,2656,37705
4,2.5,3305,1.5,0,0,5,7,1922,1956,52.9863,-114.528,1620,492000,3305,25047
